gs_name	gene_symbol
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ACP5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ACTA2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ADAM15
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ADAM8
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ADAM9
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	AEBP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	AIF1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	AKT3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ALDOA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ALOX5AP
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ANXA1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ANXA4
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ANXA5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	AP2S1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	AQP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ARF5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ARHGDIB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ARPC1B
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ARPC2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ASAH1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ATP1B3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ATP6AP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ATP6V0B
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ATP6V1B2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ATP6V1F
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	BCL2A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	BLVRA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	C1QB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	C3AR1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CAPZA1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CBFB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CCL3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CCL5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CCN1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CCN2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CCND2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CCR7
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CD151
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CD37
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CD3D
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CD47
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CD48
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CD53
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CD74
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CD8A
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CDC20
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CDC25B
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CDH11
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CDK2AP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CELF2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CHN1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL11A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL15A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL1A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL3A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL4A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL4A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL5A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL6A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	COL6A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CORO1A
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CRABP2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CRIP2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CSRP3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CTSC
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CTSS
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CXCL1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CXCR4
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CYBA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CYBB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CYFIP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	CYP1B1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DAB2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DCTN2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DDR1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DDR2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DDX11
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DGKA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DGKZ
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DNM2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DPYSL2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DUSP5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	DUT
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	EFEMP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	EFNB1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	F13A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FBN1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FBRS
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FCGBP
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FCGR2A
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FGL2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FHL3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FLNA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FUT4
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	FYB1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GEM
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GLIPR1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GNAI2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GNS
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GPNMB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GRN
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GSTP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GUCY1A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	GYPC
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HCLS1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HEXA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HIF1A
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HK1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HLA-DMA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HLA-DOA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HLA-DPB1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HLA-DQA2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HLA-DQB1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ID3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IER3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IFI16
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IFI30
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IGFBP5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IGKC
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IGLL1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IKBKE
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IL15RA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IL2RB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IL2RG
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IL7R
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IQGAP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	IRF1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ITGB2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ITPR3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	KLC1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	KLF5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	LAMB1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	LAPTM5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	LCP1
