platform,gene,n_probes,probes,rule
GPL3921,CYB5R3,1,201885_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,MKI67,4,212020_s_at;212021_s_at;212022_s_at;212023_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,TOP2A,2,201291_s_at;201292_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,CCNB1,1,214710_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,PCNA,1,201202_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,BUB1,5,209642_at;215508_at;215509_s_at;216275_at;216277_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,CCNA2,2,203418_at;213226_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,AURKA,3,204092_s_at;208079_s_at;208080_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,RRM2,2,201890_at;209773_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,COL1A1,4,202310_s_at;202311_s_at;202312_s_at;217430_x_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,FN1,6,210495_x_at;211719_x_at;212464_s_at;214701_s_at;214702_at;216442_x_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,PDGFRB,1,202273_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,CD3E,1,205456_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,CD2,1,205831_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,CD68,1,203507_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,CSF1R,1,203104_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,ITGAM,2,205785_at;205786_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL3921,HLA-DRA,2,208894_at;210982_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,CYB5R3,1,201885_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,MKI67,4,212020_s_at;212021_s_at;212022_s_at;212023_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,TOP2A,2,201291_s_at;201292_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,CCNB1,1,214710_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,PCNA,1,201202_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,BUB1,5,209642_at;215508_at;215509_s_at;216275_at;216277_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,CCNA2,2,203418_at;213226_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,AURKA,3,204092_s_at;208079_s_at;208080_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,RRM2,2,201890_at;209773_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,COL1A1,4,202310_s_at;202311_s_at;202312_s_at;217430_x_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,FN1,6,210495_x_at;211719_x_at;212464_s_at;214701_s_at;214702_at;216442_x_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,PDGFRB,1,202273_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,CD3E,1,205456_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,CD2,1,205831_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,CSF1R,1,203104_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,ITGAM,1,205786_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,LYZ,1,213975_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
GPL571,HLA-DRA,2,208894_at;210982_s_at,mean of all probes mapped to the gene symbol (same rule as the published pipeline)
