definition,model,term,n,events,HR,CI_low,CI_high,p
all 8 genes,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.37106260810121,1.13162209539137,1.66116646448403,0.00127007679857016
leave out MKI67,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.36667226457524,1.12861138275881,1.65494793628036,0.00137924937405966
leave out TOP2A,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.37089869309788,1.13179924276788,1.66050935158904,0.00125499857433284
leave out CCNB1,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.37140414832731,1.13138809126314,1.66233793034677,0.00129286978853169
leave out PCNA,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.36396911462567,1.12554261054396,1.65290210092856,0.00154342201889156
leave out BUB1,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.36968632448173,1.13090341657524,1.65888669180393,0.00128822879423234
leave out CCNA2,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.37229934033278,1.13290677690094,1.66227753057429,0.00121305857404208
leave out AURKA,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.38096168183129,1.13877288216554,1.67465804336661,0.00103504575374183
leave out RRM2,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.36571063269354,1.12753504507736,1.65419739314996,0.00143467538553253
MKI67 alone,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.37048497125374,1.1274163124541,1.66595873741078,0.00155659614001552
TOP2A alone,TCGA: CYB5R3 with this proliferation definition,z5,339,114,1.35115679323244,1.11386164692654,1.63900488443566,0.00225580281796817
